Process edges: 69
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_DIVERSITY_CORE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELTAX
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:PHYLOSEQ_INASV
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_CLASSIFY -> NFCORE_AMPLISEQ:AMPLISEQ:PHYLOSEQ_INTAX_QIIME2
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_CLASSIFY -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_QIIME2
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_INSEQ -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_CLASSIFY
NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES -> NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC
NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES -> NFCORE_AMPLISEQ:AMPLISEQ:FASTQC
NFCORE_AMPLISEQ:AMPLISEQ:VSEARCH_CLUSTER -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_CLUSTERS
